Ref-No.	Citation
133	Döring, E., J. Schneider, K. W. Hilu, M. Röser (2007). Phylogenetic Relationships in the Aveneae/Poeae Complex (Pooideae, Poaceae). Kew Bulletin 62(3): 407-424.
134	Downie, S. R., D. S. Katz-Downie, K. J. Cho (1997). Relationships in the Caryophyllales as suggested by phylogenetic analyses of partial chloroplast DNA ORF2280 homolog sequences. American Journal of Botany 84: 253-273.
135	Downie, S. R., D. S. Katz-Downie, K. Spalik (2000). A phylogeny of Apiaceae tribe Scandiceae: Evidence from nuclear ribosomal DNA internal transcribed spacer sequences. American Journal of Botany 87: 76-95.
136	Downie, S. R., D. S. Katz-Downie, F. J. Sun, C. S. Lee (2008). Phylogeny and biogeography of Apiaceae tribe Oenantheae inferred from nuclear rDNA ITS and cpDNA psbI-5' trnK((UUU)) sequences, with emphasis on the North American Endemics clade. Botany-Botanique 86(9): 1039-1064.
137	Downie, S. R., K. Spalik, D. S. Katz-Downie, J. P. Reduron (2010). Major clades within Apiaceae subfamily Apioideae as inferred by phylogenetic analysis of nrDNA ITS sequences Plant Diversity and Evolution 128: 111-136.
138	Downie, S. R., M. F. Watson, K. Spalik, D. S. Katz-Downie (2000). Molecular systematics of Old World Apioideae (Apiaceae): relationships among some members of tribe Peucedaneae sensu lato, the placement of several island-endemic species, and resolution within the apioid superclade. Canadian Journal of Botany 78: 506-528.
139	Doyle, J. J., J. L. Doyle, J. A. Ballenger, E. E. Dickson, T. Kajita, H. Ohashi (1997). A phylogeny of the chloroplast gene rbcL in the Leguminosae: taxonomic correlations and insights into the evolution of nodulation. American Journal of Botany 84: 541-554.
140	Drew, B. T. and K. J. Sytsma (2012). Phylogenetics, biogeography, and staminal evolution in the tribe Mentheae (Lamiaceae). American Journal of Botany 99(5): 933-953.
141	Eddie, W. M. M., T. Shulkina, J. Gaskin, R. C. Haberle, R. K. Jansen (2003). Phylogeny of Campanulaceae s. str. inferred from its sequences of nuclear ribosomal DNA. Annals of the Missouri Botanical Garden 90(4): 554-575.
142	Ellison, N. W., A. Liston, J. J. Steiner, W. M. Williams, N. L. Taylor (2006). Molecular phylogenetics of the clover genus (Trifolium-Leguminosae). Molecular Phylogenetics and Evolution 39(3): 688-705.
143	Emadzade, K. (2010). Molecular phylogeny, evolution and biogeography of Ranunculus (Ranunculaceae) and related genera. wien, University of Wien.
144	Emadzade, K., B. Gehrke, H. P. Linder, E. Horandl (2011). The biogeographical history of the cosmopolitan genus Ranunculus L. (Ranunculaceae) in the temperate to meridional zones. Molecular Phylogenetics and Evolution 58(1): 4-21.
145	Endo, Y., B. H. Choi, H. Ohashi, A. Delgado-Salinas (2008). Phylogenetic relationships of New World Vicia (Leguminosae) inferred from nrDNA internal transcribed spacer sequences and floral characters. Systematic Botany 33(2): 356-363.
146	Englund, M., P. Pornpongrungrueng, M. H. G. Gustafsson, A. A. Anderberg (2009). Phylogenetic relationships and generic delimitation in Inuleae subtribe Inulinae (Asteraceae) based on ITS and cpDNA sequence data. Cladistics 25(4): 319-352.
147	Enke, N. (2008). Phylogeny and character evolution in the genus Crepis L. (Cichorieae, Compositae). Berlin, FU Berlin.
148	Eriksson, T., M. S. Hibbs, A. D. Yoder, C. F. Delwiche, M. J. Donoghue (2003). The phylogeny of Rosoideae (Rosaceae) based on sequences of the internal transcribed spacers (ITS) of nuclear ribosomal DNA and the trnL/F region of chloroplast DNA. International Journal of Plant Sciences 164(2): 197-211.
149	Eschmann-Grupe, G., H. Hurka, B. Neuffer (2003). Species relationships within  Diplotaxis  (Brassicaceae) and the phylogenetic origin of  D. muralis Plant Systematics and Evolution 243(1-2): 13-29.
150	Escudero, M. and M. Luceno (2009). Systematics and evolution of Carex sects. Spirostachyae and Elatae (Cyperaceae). Plant Systematics and Evolution 279(1-4): 163-189.
151	Escudero, M., V. Valcarcel, P. Vargas, M. Luceno (2009). SIGNIFICANCE OF ECOLOGICAL VICARIANCE AND LONG-DISTANCE DISPERSAL IN THE DIVERSIFICATION OF CAREX SECT. SPIROSTACHYAE (CYPERACEAE). American Journal of Botany 96(11): 2100-2114.
152	Escudero, M., V. Valcarcela, P. Vargas, M. Luceno (2008). Evolution in Carex L. sect. Spirostachyae (Cyperaceae): A molecular and cytogenetic approach. Organisms Diversity & Evolution 7: 271-291.
153	Espíndola, A., S. Buerki, M. Bedalov, P. Küpfer, N. Alvarez (2010). New insights into the phylogenetics and biogeography of Arum (Araceae): unravelling its evolutionary history. Botanical Journal of the Linnean Society 163(1): 14-32.
154	Essi, L., H. M. Longhi-Wagner, T. T. de Souza-Chies (2008). Phylogenetic analysis of the Briza Complex (Poaceae). Molecular Phylogenetics and Evolution 47(3): 1018-1029.
155	Fan, C. Z. and Q. Y. Xiang (2001). Phylogenetic relationships within Cornus (Cornaceae) based on 26S rDNA sequences. American Journal of Botany 88(6): 1131-1138.
156	Fan, X., L.-N. Sha, R.-W. Yang, H.-Q. Zhang, H.-Y. Kang, C.-B. Ding, L. Zhang, Y.-L. Zheng, Y.-H. Zhou (2009). Phylogeny and evolutionary history of Leymus (Triticeae; Poaceae) based on a single-copy nuclear gene encoding plastid acetyl-CoA carboxylase. BMC Evolutionary Biology 9(1): 247.
157	Favre, A., Y. M. Yuan, P. Kupfer, N. Alvarez (2010). Phylogeny of subtribe Gentianinae (Gentianaceae): Biogeographic inferences despite limitations in temporal calibration points. Taxon 59(6): 1701-1711.
158	Fay, M. F., M. W. Chase, N. Ronsted, D. S. Devey, Y. Pillon, J. C. Pires, G. Petersen, O. Seberg, J. I. Davis (2006). Phylogenetics of Liliales: summarized evidence from combined analyses of five plastid and one mitochondrial loci. Aliso 22: 559-565.
159	Fehrer, J., B. Gemeinholzer, J. Chrtek, S. Bräutigam (2007). Incongruent plastid and nuclear DNA phylogenies reveal ancient intergeneric hybridization in Pilosella hawkweeds (Hieracium, Cichorieae, Asteraceae). Molecular Phylogenetics and Evolution 42(2): 347-361.
160	Fehrer, J., K. Krak, J. Chrtek (2009). Intra-individual polymorphism in diploid and apomictic polyploid hawkweeds (Hieracium, Lactuceae, Asteraceae): disentangling phylogenetic signal, reticulation, and noise. BMC Evolutionary Biology 9.
161	Feng, Y., S.-H. Oh, P. S. Manos, W. B. Zomlefer (2005). Phylogeny and historical biogeography of the genus Platanus as inferred from nuclear and chloroplast DNA. Systematic Botany 30(4): 786-799.
162	Fernandez-Mazuecos, M. and P. Vargas (2011). Historical isolation versus recent long-distance connections between Europe and Africa in bifid Toadflaxes (Linaria sect. Versicolores). PLoS ONE 6(7): e22234.
163	Fior, S., P. O. Karis, G. Casazza, L. Minuto, F. Sala (2006). Molecular phylogeny of the Caryophyllaceae (Caryophyllales) inferred from chloroplast MATK and nuclear rDNA its sequences. American Journal of Botany 93(3): 399-411.
164	Fiz-Palacios, O. and V. Valcarcel (2011). Imbalanced diversification of two Mediterranean sister genera (Bellis and Bellium, Asteraceae) within the same time frame. Plant Systematics and Evolution 295(1-4): 131-153.
165	Fiz-Palacios, O., P. Vargas, R. Vila, A. S. T. Papadopulos, J. J. Aldasoro (2010). The uneven phylogeny and biogeography of Erodium (Geraniaceae): radiations in the Mediterranean and recent recurrent intercontinental colonization. Annals of Botany 106(6): 871-884.
166	Fiz, O., P. Vargas, M. Alarcon, C. Aedo, J. L. Garcia, J. J. Aldasoro (2008). Phylogeny and historical biogeography of Geraniaceae in relation to climate changes and pollination ecology. Systematic Botany 33(2): 326-342.
167	Font, M., N. Garcia-Jacas, R. Vilatersana, C. Roquet, A. Susanna (2009). Evolution and biogeography of Centaurea section Acrocentron inferred from nuclear and plastid DNA sequence analyses. Annals of Botany 103(6): 985-997.
168	Ford, B. A., M. Iranpour, R. F. C. Naczi, J. R. Starr, C. A. Jerome (2006). Phylogeny of Carex subg. Vignea (Cyperaceae) based on non-coding nrDNA sequence data. Systematic Botany 31(1): 70-82.
169	Forest, F. and M. W. Chase (2009). Eudicots. The Timetree of Life. S. B. Hedges and S. Kumar, Oxford University Press: 169-176.
170	Forest, F. and M. W. Chase (2009). Magnoliids. The Timetree of Life. S. B. Hedges and S. Kumar, Oxford University Press: 166-168.
171	Forest, F., M. W. Chase, C. Persson, P. R. Crane, J. A. Hawkins (2007). The role of biotic and abiotic factors in evolution of ant dispersal in the milkwort family (Polygalaceae). Evolution 61(7): 1675-1694.
172	Forest, F., V. Savolainen, M. W. Chase, R. Lupia, A. Bruneau, P. R. Crane (2005). Teasing apart molecular-versus fossil-based error estimates when dating phylogenetic trees: A case study in the birch family (Betulaceae). Systematic Botany 30(1): 118-133.
173	Fortune, P. M., N. Pourtau, N. Viron, M. L. Ainouche (2008). Molecular phylogeny and reticulate origins of the polyploid Bromus species from section Genea (Poaceae). American Journal of Botany 95(4): 454-464.
174	Frajman, B., N. Heidari, B. Oxelman (2009). Phylogenetic relationships of Atocion and Viscaria (Sileneae, Caryophyllaceae) inferred from chloroplast, nuclear ribosomal, and low-copy gene DNA sequences. Taxon 58(3): 811-824.
175	Frajman, B. and P. Schönswetter (2011). Giants and dwarfs: Molecular phylogenies reveal multiple origins of annual spurges within Euphorbia subg. Esula. Molecular Phylogenetics and Evolution In Press.
176	Frajman, B. o., F. Eggens, B. Oxelman (2009). Hybrid origins and homoploid reticulate evolution within Heliosperma (Sileneae, Caryophyllaceae) - A multigene phylogenetic approach with relative dating. Systematic Biology 58(3): 328-345.
177	Franzke, A., M. A. Lysak, I. A. Al-Shehbaz, M. A. Koch, K. Mummenhoff (2011). Cabbage family affairs: the evolutionary history of Brassicaceae. Trends in Plant Science 16(2): 108-116.
178	Franzke, A., K. Pollmann, W. Bleeker, R. Kohrt, H. Hurka (1998). Molecular systematics of Cardamine and allied genera (Brassicaceae): ITS and non-coding chloroplast DNA. Folia Geobotanica 33(3): 225-240.
179	Freudenstein, J. V. (1999). Relationships and character transformation in Pyroloideae (Ericaceae) based on ITS sequences, morphology, and development. Systematic Botany 24: 398-408.
180	Freudenstein, J. V. and D. M. Senyo (2008). Relationships and evolution of matK in a group of leafless orchids (Corallorhiza and Corallorhizinae; Orchidaceae: Epidendroideae). American Journal of Botany 95(4): 498-505.
181	Friesen, N., R. M. Fritsch, F. R. Blattner (2006). Phylogeny and new intrageneric classification of Allium (Alliaceae) based on nuclear ribosomal DNA ITS sequences. Aliso 22: 372-395.
182	Frye, A. S. L. and K. A. Kron (2003). rbcL phylogeny and character evolution in Polygonaceae. Systematic Botany 28(2): 326-332.
183	Fryer, J. and B. Hylmö (2009). Cotoneasters: A comprehensive guide to shrubs for flowers, fruit, and foliage. Portland, Timber Press.
184	Fu, Y. B. and D. Williams (2008). AFLP variation in 25 Avena species. Theoretical and Applied Genetics 117(3): 333-342.
185	Fuentes-Bazan, S., G. Mansion, T. Borsch (2012). Towards a species level tree of the globally diverse genus Chenopodium (Chenopodiaceae). Molecular Phylogenetics and Evolution 62(1): 359-374.
186	Fukuhara, T. (1999). Seed and funicle morphology of Fumariaceae-Fumarioideae: Systematic implications and evolutionary patterns. International Journal of Plant Sciences 160(1): 151-180.
187	Funk, V. A., A. A. Anderberg, B. A. Baldwin, R. J. Bayer, J. M. Bonifacino, I. Breitweiser, L. Broulliet, E. al. (2009). Compositae metatrees: the next generation. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 747-777.
188	Funk, V. A., A. Susanna, T. F. Stuessy, H. Robinson (2009). Classification of Compositae. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 171-189.
189	Gadek, P. A., D. L. Alpers, M. M. Heslewood, C. J. Quinn (2000). Relationships within Cupressaceae sensu lato: A combined morphological and molecular approach. American Journal of Botany 87: 1044-1057.
190	Gadek, P. A., E. S. Fernando, C. J. Quinn, S. B. Hoot, T. Terrazas, M. C. Sheahan, M. W. Chase (1996). Sapindales: molecular delimitation and infraordinal groups. American Journal of Botany 83(6): 802-811.
191	Galbany-Casals, M., S. Andres-Sanchez, N. Garcia-Jacas, A. Susanna, E. Rico, M. M. Martinez-Ortega (2010). How many of Cassini anagrams should there be? Molecular systematics and phylogenetic relationships in the Filago group (Asteraceae, Gnaphalieae), with special focus on the genus Filago. Taxon 59(6): 1671-1689.
192	Galbany-Casals, M., N. Garcia-Jacas, L. Saez, C. Benedi, A. Susanna (2009). Phylogeny, biogeography and character evolution in mediterranean, asiatic and macaronesian Helichrysum (Asteraceae, Gnaphalieae) inferred from nuclear phylogenetic analyses. International Journal of Plant Sciences 170(3): 365-380.
193	Galicia-Herbada, D. (2006). Origin and diversification of Thymelaea (Thymelaeaceae): inferences from a phylogenetic study based on ITS (rDNA) sequences. Plant Systematics and Evolution 257(3-4): 159-187.
194	Ganders, F. R., M. Berbee, M. Pirseyedi (2000). ITS base sequence phylogeny in Bidens (Asteraceae): Evidence for the continental relatives of Hawaiian and Marquesan Bidens. Systematic Botany 25: 122-133.
195	Gao, L. M., D. Z. Li, C. Q. Zhang, J. B. Yang (2002). Infrageneric and sectional relationships in the genus Rhododendron (Ericaceae) inferred from ITS sequence data. Acta Botanica Sinica 44: 1351-1356.
196	Garcia-Jacas, N., T. Garnatje, A. Susanna, R. Vilatersana (2002). Tribal and subtribal delimitation and phylogeny of the Cardueae (Asteraceae): A combined nuclear and chloroplast DNA analysis. Molecular Phylogenetics and Evolution 22(1): 51-64.
197	Garcia-Jacas, N., A. Susanna, T. Garnatje, R. Vilatersana (2001). Generic delimitation and phylogeny of the subtribe Centaureinae (Asteraceae): A combined nuclear and chloroplast DNA analysis. Annals of Botany 87(4): 503-515.
198	Garcia-Jacas, N., T. Uysal, K. Romashchenko, V. N. Suarez-Santiago, K. Ertugrul, A. Susanna (2006). Centaurea revisited: A molecular survey of the Jacea group. Annals of Botany 98(4): 741-753.
199	Garcia, M. A. and M. P. Martin (2007). Phylogeny of Cuscuta subgenus Cuscuta (Convolvulaceae) based on nrDNA ITS and chloroplast trnL intron sequences. Systematic Botany 32(4): 899-916.
200	Garcia, P. E., P. Schönswetter, J. F. Aguilar, G. N. Feliner, G. M. Schneeweiss (2009). Five molecular markers reveal extensive morphological homoplasy and reticulate evolution in the Malva alliance (Malvaceae). Molecular Phylogenetics and Evolution 50(2): 226-239.
201	Gardner, A., E. Emshwiller, M. Vaio, M. Guerra-Filho, K. Oberlander, L. Dreyer, C. Heibl (2011). From woody shrubs to weedy, succulent, and bulb-bearing herbs: an updated phylogeny for Oxalis. Botanical Society of America Meeting St. Louis, MO (http://designdrift.tumblr.com/tagged/oxalis/).
202	Gardner, A. G., M. Vaio, M. Guerra, E. Emshwiller (2012). Diversification of the American bulb-bearing Oxalis (Oxalidaceae): Dispersal to North America and modification of the tristylous breeding system. American Journal of Botany 99(1): 152-164.
203	Gehrke, B., C. Bräuchler, K. Romoleroux, M. Lundberg, G. Heubl, T. Eriksson (2008). Molecular phylogenetics of Alchemilla, Aphanes and Lachemilla (Rosaceae) inferred from plastid and nuclear intron and spacer DNA sequences, with comments on generic classification. Molecular Phylogenetics and Evolution 47(3): 1030-1044.
204	Geleta, M., E. Bekele, K. Dagne, T. Bryngelsson (2010). Phylogenetics and taxonomic delimitation of the genus Guizotia (Asteraceae) based on sequences derived from various chloroplast DNA regions. Plant Systematics and Evolution 289(1): 77-89.
205	Gernandt, D. S., G. G. Lopez, S. O. Garcia, A. Liston (2005). Phylogeny and classification of Pinus. Taxon 54(1): 29-42.
206	Gernandt, D. S., S. Magallon, G. G. Lopez, O. Z. Flores, A. Willyard, A. Liston (2008). Use of simultaneous analyses to guide fossil-based calibrations of Pinaceae phylogeny. International Journal of Plant Sciences 169(8): 1086-1099.
207	Ghebrehiwet, M., B. Bremer, M. Thulin (2000). Phylogeny of the tribe Antirrhineae (Scrophulariaceae) based on morphological and ndhF sequence data. Plant Systematics and Evolution 220.
208	Gillespie, E. and K. Kron (2010). Molecular phylogenetic relationships and a revised classification of the subfamily Ericoideae (Ericaceae). Molecular Phylogenetics and Evolution 56(1): 343-354.
209	Gillespie, L. J., A. Archambault, R. J. Soreng (2007). Phylogeny of Poa (Poaceae) based on trnT-trnF sequence data: major clades and basal relationships. Aliso 23: 420-434.
210	Gillespie, L. J. and R. Boles (2001). Phylogenetic relationships and infraspecific variation in Canadian Arctic Poa based on chloroplast DNA restriction site data. Canadian Journal of Botany-Revue Canadienne de Botanique 79(6): 679-701.
211	Gillespie, L. J. and R. J. Soreng (2005). A phylogenetic analysis of the bluegrass genus Poa based on cpDNA restriction site data. Systematic Botany 30(1): 84-105.
212	Gillespie, L. J., R. J. Soreng, M. Paradis, R. D. Bull (2010). Phylogeny and reticulation in subtribe Poinae and related subtribes (Poaceae) based on nrITS, ETS, and trnTLF data. Diversity, Phylogeny, and Evolution in the Monocotyledons. O. Seeberg, G. Peterson, A. Barfod and J. I. Davis. Aarhus, Aarhus University Press: 589-617.
213	Givnish, T. J., J. C. Pires, S. W. Graham, M. A. McPherson, L. M. Prince, T. B. Patterson, H. S. Rai, E. H. Roalson, T. M. Evans, W. J. Hahn, K. C. Millam, A. W. Meerow, M. Molvray, P. J. Kores, H. E. O'Brien, J. C. Hall, W. J. Kress, K. J. Sytsma (2005). Repeated evolution of net venation and fleshy fruits among monocots in shaded habitats confirms a priori predictions: evidence from an ndhF phylogeny. Proceedings of the Royal Society B-Biological Sciences 272(1571): 1481-1490.
214	Gobert, V., S. Moja, P. Taberlet, M. Wink (2006). Heterogeneity of three molecular data partition phylogenies of mints related to M. x piperita (Mentha; Lamiaceae). Plant Biology 8(4): 470-485.
215	Goetsch, L., A. J. Eckert, B. D. Hall (2005). The molecular systematics of Rhododendron (Ericaceae): A phylogeny based upon RPB2 gene sequences. Systematic Botany 30(3): 616-626.
216	Goldblatt, P., A. Rodriguez, M. P. Powell, T. J. Davies, J. C. Manning, M. van der Bank, V. Savolainen (2008). Iridaceae 'out of Australasia'? Phylogeny, biogeography, and divergence time based on plastid DNA sequences. Systematic Botany 33(3): 495-508.
217	Goldblatt, P., V. Savolainen, O. Porteous, I. Sostaric, M. Powell, G. Reeves, J. C. Manning, T. G. Barraclough, M. W. Chase (2002). Radiation in the Cape flora and the phylogeny of peacock irises Moraea (Iridaceae) based on four plastid DNA regions. Molecular Phylogenetics and Evolution 25(2): 341-360.
218	Golovnina, K., S. Glushkov, A. Blinov, V. Mayorov, L. Adkinson, N. Goncharov (2006). Molecular phylogeny of the genus Triticum L. Comparative and evolutionary genomics and proteomics: 147-150.
219	Gontcharova, S., E. Artyukova, A. Gontcharov (2006). Phylogenetic relationships among members of the subfamily Sedoideae (Crassulaceae) inferred from the ITS region sequences of nuclear rDNA. Russian Journal of Genetics 42(6): 654-661.
220	Goodson, B. E., S. K. Rehman, R. K. Jansen (2011). Molecular Systematics and Biogeography of Descurainia (Brassicaceae) Based on Nuclear ITS and Non-Coding Chloroplast DNA. Systematic Botany 36(4): 957-980.
221	Gorniak, M., O. Paun, M. W. Chase (2010). Phylogenetic relationships within Orchidaceae based on a low-copy nuclear coding gene, Xdh: Congruence with organellar and nuclear ribosomal DNA results. Molecular Phylogenetics and Evolution 56(2): 784-795.
222	Graham, S. A., J. Hall, K. Sytsma, S. H. Shi (2005). Phylogenetic analysis of the Lythraceae based on four gene regions and morphology. International Journal of Plant Sciences 166(6): 995-1017.
223	Graham, S. W. and S. C. H. Barrett (2004). Phylogenetic reconstruction of the evolution of stylar polymorphisms in  Narcissus  (Amaryllidaceae). American Journal of Botany 91(7): 1007-1021.
224	Grass_Phylogeny_Working_Group, N. P. Barker, L. G. Clark, J. I. Davis, M. R. Duvall, G. F. Guala, C. Hsiao, E. A. Kellogg, H. P. Linder, R. J. Mason-Gamer, S. Y. Mathews, M. P. Simmons, R. J. Soreng, R. E. Spangler (2001). Phylogeny and subfamilial classification of the grasses (Poaceae). Annals of the Missouri Botanical Garden 88(3): 373-457.
225	Greiner, S., X. Wang, U. Rauwolf, M. V. Silber, K. Mayer, J. Meurer, G. Haberer, R. G. Herrmann (2008). The complete nucleotide sequences of the five genetically distinct plastid genomes of Oenothera, subsection Oenothera: I. Sequence evaluation and plastome evolution. Nucleic Acids Research 36(7): 2366-2378.
226	Guibert, C. (2008). Macro-ecologie et evolution des Carex en Suisse. Toulouse, Univ. Toulouse III. PhD.
227	Guillon, J. M. (2007). Molecular phylogeny of horsetails (Equisetum) including chloroplast atpB sequences. Journal of Plant Research 120(4): 569-574.
228	Guo, Y. H. (2010). Molecular systematics of Philadelphus and molecular evolution of LFY in the core eudicots. Raleigh, North Carolina, North Caroline State University. Master.
229	Guo, Y. P., F. Ehrendorfer, R. Samuel (2004). Phylogeny and systematics of Achillea (Asteraceae-Anthemideae) inferred from nrITS and plastid trnL-F DNA sequences. Taxon 53(3): 657-672.
230	Gurushidze, M. S. M. (2009). Phylogenetic relationships and diversification processes in Allium subgenus Melanocrommyum. Naturwissenschaftlichen Fakultät I Halle, Martin-Luther-University Halle-Wittenberg PhD.
231	Gussarova, G., M. Popp, E. Vitek, C. Brochmann (2008). Molecular phylogeny and biogeography of the bipolar Euphrasia (Orobanchaceae): Recent radiations in an old genus. Molecular Phylogenetics and Evolution 48(2): 444-460.
232	Gustafsson, A. L. S., C. F. Verola, A. Antonelli (2010). Reassessing the temporal evolution of orchids with new fossils and a Bayesian relaxed clock, with implications for the diversification of the rare South American genus Hoffmannseggella (Orchidaceae: Epidendroideae). BMC Evolutionary Biology 10: 13.
233	Guzmán, B., M. D. Lledó, P. Vargas (2009). Adaptive radiation in Mediterranean Cistus (Cistaceae). Plos One 4(7): e6362.
234	Guzman, B. and P. Vargas (2009). Historical biogeography and character evolution of Cistaceae (Malvales) based on analysis of plastid rbcL and trnL-trnF sequences. Organisms Diversity & Evolution 9(2): 83-99.
235	Haberle, R. C., A. Dang, T. Lee, C. Penaflor, H. Cortes-Burns, A. Oestreich, L. Raubeson, N. Cellinese, E. J. Edwards, S. T. Kim, W. M. M. Eddie, R. K. Jansen (2009). Taxonomic and biogeographic implications of a phylogenetic analysis of the Campanulaceae based on three chloroplast genes. Taxon 58(3): 715-734.
236	Hadiah, J. T., B. J. Conn, C. J. Quinn (2008). Infra-familial phylogeny of Urticaceae, using chloroplast sequence data. Australian Systematic Botany 21(5): 375-385.
237	Häffner, E. and F. H. Hellwig (1999). Phylogeny of the tribe Cardueae (Compositae) with emphasis on the subtribe Carduinae: an analysis based on ITS sequence data. Willdenowia 29: 27-39.
238	Ham, R. C. H. J. and H. t´Hart (1994). Evolution of Sedum series Rupestria (Crassulaceae): Evidence from chloroplast DNA and biosystematic data. Plant Systematics and Evolution 190(1): 1-20.
239	Hamasha, H. R., K. B. von Hagen, M. Röser (2012). Stipa (Poaceae) and allies in the Old World: Molecular phylogenetics realigns genus circumscription and gives evidence on the origin of American and Australian lineages. Plant Systematics and Evolution 298: 351-367.
240	Hamzeh, M. and S. Dayanandan (2004). Phylogeny of Populus (Salicaceae) based on nucleotide sequences of chloroplast trnT-trnF region and nuclear rDNA. American Journal of Botany 91(9): 1398-1408.
241	Harbaugh, D. T., M. Nepokroeff, R. K. Rabeler, J. McNeill, E. A. Zimmer, W. L. Wagner (2010). A new lineage-based tribal classification of the family Caryophyllaceae. International Journal of Plant Sciences 171(2): 185-198.
242	Hardig, T. M., C. K. Antilla, S. J. Brunsfeld (2010). A phylogenetic analysis of Salix (Salicaceae) based on matK and ribosomal DNA sequence data. Journal of Botany Article ID 197696.
243	Hauk, W. D., C. R. Parks, M. W. Chase (2003). Phylogenetic studies of Ophioglossaceae: evidence from rbcL and trnL-F plastid DNA sequences and morphology. Molecular Phylogenetics and Evolution 28(1): 131-151.
244	Havill, N. P., C. S. Campbell, T. F. Vining, B. LePage, R. J. Bayer, M. J. Donoghue (2008). Phylogeny and biogeography of Tsuga (Pinaceae) inferred from nuclear ribosomal ITS and chloroplast DNA sequence data. Systematic Botany 33(3): 478-789.
245	Hedren, M. (2002). Patterns of allozyme and morphological differentiation in the Carex flava complex (Cyperaceae) in Fennoscandia. Nordic Journal of Botany 22(3): 257-301.
246	Hedrén, M., M. F. Fay, M. W. Chase (2001). Amplified fragment length polymorphisms (AFLP) reveal details of polyploid evolution in Dactylorhiza (Orchidaceae). American Journal of Botany 88: 1868-1880.
247	Hedrén, M., E. Klein, H. Teppner (2000). Evolution of polyploids in the European orchid genus  Nigritella : Evidence from allozyme data. Phyton-Annales Rei Botanicae 40(2): 239-275.
248	Heibl, C. and S. S. Renner (2012). Distribution models and a dated phylogeny for Chilean Oxalis species reveal occupation of new habitats by different lineages, not rapid adaptive radiation. Systematic Biology.
249	Hendrichs, M., S. G. Michalski, D. Begerow, F. Oberwinkler, F. H. Hellwig (2004). Phylogenetic relationships in Carex, subgenus Vignea (Cyperaceae), based on ITS sequences. Plant Systematics and Evolution 246(1-2): 109-125.
250	Hendrichs, M., F. Oberwinkler, D. Begerow, R. Bauer (2004). Carex, subgenus Carex (Cyperaceae) - A phylogenetic approach using ITS sequences. Plant Systematics and Evolution 246(1-2): 89-107.
251	Hennequin, S., E. Schuettpelz, K. M. Pryer, A. Ebihara, J.-Y. Dubuisson (2008). Divergence times and the evolution of epiphytism in filmy ferns (Hymenophyllaceae) revisited. International Journal of Plant Sciences 169(9): 1278-1287.
252	Herl, V., D. C. Albach, F. Müller-Uri, C. Bräuchler, G. Heubl, W. Kreis (2008). Using progesterone 5 beta-reductase, a gene encoding a key enzyme in the cardenolide biosynthesis, to infer the phylogeny of the genus Digitalis. Plant Systematics and Evolution 271(1-2): 65-78.
253	Hidalgo, O., T. Garnatje, A. Susanna, J. Mathez (2004). Phylogeny of Valerianaceae based on matK and ITS markers, with reference to matK individual polymorphism. Annals of Botany 93(3): 283-293.
254	Hildebrandt, U., K. Hoef-Emden, S. Backhausen, H. Bothe, M. Bozek, A. Siuta, E. Kuta (2006). The rare, endemic zinc violets of Central Europe originate from Viola lutea Huds. Plant Systematics and Evolution 257(3-4): 205-222.
255	Hileman, L. C., M. C. Vasey, V. T. Parker (2001). Phylogeny and Biogeography of the Arbutoideae (Ericaceae): Implications for the Madrean-Tethyan Hypothesis. Systematic Botany 26(1): 131-143.
256	Hilger, H. H., F. Selvi, A. Papini, M. Bigazzi (2004). Molecular systematics of Boraginaceae tribe boragineae based on ITS1 and trnL sequences, with special reference to Anchusa s.l. Annals of Botany 94(2): 201-212.
257	Hoot, S. B. (1995). Phylogenetic relationships in Anemone (Ranunculaceae) based on DNA restriction site variation and morphology. Plant Systematics and Evolution Suppl. 9: 295-300.
258	Hoot, S. B. (1995). Phylogeny of the Ranunculaceae based on preliminary atpB, rbcL and 18S nuclear ribosomal DNA sequence data. Plant Systematics and Evolution Suppl. 9: 241-251.
259	Hoot, S. B., J. W. Kadereit, F. R. Blattner, K. B. Jork, A. E. Schwarzbach, P. R. Crane (1997). Data congruence and phylogeny of the Papaveraceae s.l. based on four data sets: atpB and rbcL sequences, trnK restriction sites, and morphological characters. Systematic Botany 22(3): 575-590.
260	Hoot, S. B., A. A. Reznicek, J. D. Palmer (1994). Phylogenetic relationships in Anemone (Ranunculaceae) based on morphology and chloroplast DNA. Systematic Botany 19: 169-200.
261	Hoot, S. B., W. C. Taylor, N. S. Napier (2006). Phylogeny and biogeography of Isoetes (Isoetaceae) based on nuclear and chloroplast DNA sequence data. Systematic Botany 31(3): 449-460.
262	Hörandl, E., O. Paun, J. T. Johansson, C. Lehnebach, T. Armstrong, L. Chen, P. Lockhart (2005). Phylogenetic relationships and evolutionary traits in Ranunculus s.l. (Ranunculaceae) inferred from ITS sequence analysis. Molecular Phylogenetics and Evolution 36(2): 305-327.
